Table 3-12:  Electric Power Generation by Fuel Type (Percent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuel Type ,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Coal,53.4%,54.4%,54.6%,53.9%,52.7%,53.9%,54.6%,53.4%,52.6%,53.3%,52.6%,51.7%,52.5%,51.4%,51.1%,51.1%,50.4%,49.9%,49.5%,45.7%,46.0%,43.5%,38.6%,40.2%,39.9%,34.2%,31.4%,30.9%
,Natural Gas,10.8%,11.4%,11.2%,12.5%,13.1%,11.5%,12.0%,13.0%,13.4%,14.2%,15.5%,16.4%,15.2%,16.5%,17.5%,17.5%,18.8%,20.3%,20.2%,22.1%,22.7%,23.5%,29.1%,26.4%,26.3%,31.6%,32.7%,30.9%
,Nuclear,20.8%,21.1%,20.0%,20.7%,21.1%,20.5%,18.9%,19.5%,20.6%,20.7%,21.5%,21.1%,20.5%,20.7%,20.0%,20.0%,20.1%,20.1%,20.3%,21.0%,20.3%,20.0%,19.8%,20.2%,20.3%,20.4%,20.6%,20.8%
,Renewables,11.1%,10.0%,10.6%,9.7%,10.9%,11.7%,11.9%,10.5%,10.3%,8.8%,7.1%,8.3%,8.6%,8.3%,8.3%,8.3%,9.0%,8.0%,8.8%,10.2%,10.0%,12.2%,11.9%,12.5%,12.8%,13.0%,14.7%,16.8%
,Petroleum,3.8%,3.1%,3.5%,3.2%,2.1%,2.3%,2.6%,3.5%,3.2%,2.9%,3.3%,2.4%,3.1%,3.0%,3.0%,3.0%,1.5%,1.5%,1.1%,0.9%,0.9%,0.7%,0.5%,0.6%,0.7%,0.7%,0.6%,0.5%
,Other Gasesa,+%,+%,+%,+%,+%,0.1%,+%,+%,0.1%,+%,0.1%,+%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%
,Net Electricity Generation (Billion kWh)b,"2,905","2,940","2,938","3,048","3,092","3,197","3,287","3,333","3,462","3,536","3,643","3,582","3,698","3,721","3,809","3,902","3,908","4,005","3,974","3,808","3,971","3,947","3,888","3,901","3,936","3,917","3,917","3,877"
,+ Does not exceed 0.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"a Other gases include blast furnace gas, propane gas, and other manufactured and waste gases derived from fossil fuels.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b Represents net electricity generation from the electric power sector. Excludes net electricity generation from commercial and industrial combined-heat-and-power and electricity-only plants.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
